#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
1.62882e-10;2.94884e-10,0.0925021;0.0241099,1;1,2.65728e-09,0.887365,1
,,,4.80045e-09,0.433308,1
,,,6.40095e-09;8.78027e-09;9.2603e-09,0.270767;0.0216181;0.0540653,3;3;3
1.58507e-10;1.99244e-10;1.97937e-10,0.775489;0.216843;0.309543,0;0;2,3.11956e-09;4.26703e-09;3.15207e-09;4.65774e-09,0.182931;0.198831;1.76204;0.00634655,1;1;3;3
1.61755e-10,0.180456,1,,,
2.18206e-10,0.0341535,2,,,
2.09898e-10;2.25705e-10,0.579374;0.0234328,3;3,3.42801e-09;3.75475e-09;4.6168e-09;1.26428e-08;1.62552e-08;1.63243e-08;2.35565e-08;2.38127e-08,0.563604;0.226969;0.070474;0.01142;0.00258809;0.00222293;0.0141156;0.00168018,0;0;0;0;0;0;0;0
1.68182e-10;2.11526e-10;1.60788e-10,0.148365;0.019747;0.733551,0;0;1,2.42687e-09,0.281799,3
1.77859e-10,0.00321727,1,,,
1.71448e-10;2.25952e-10,1.65096;0.382507,1;1,1.50608e-08,0.0558657,1
1.68133e-10,1.01833,1,1.58192e-09,2.68058,1
,,,2.00959e-09;1.37337e-08;1.43725e-08;1.87317e-08,1.84956;0.0504938;0.0487495;0.0106566,3;3;3;3
,,,1.83912e-08;2.20765e-08;2.32866e-08;2.39008e-08;3.60673e-08;4.10737e-08;4.55721e-08;2.87564e-09,0.0128907;0.00142958;0.00866109;0.00466096;0.00359892;0.000430828;0.00043339;0.267216,0;0;0;0;0;0;0;1
1.7002e-10;1.54275e-10,0.212702;0.601947,1;1,,,
,,,3.25298e-09;1.76594e-09,1.24898;1.09496,0;0
1.94131e-10,0.0496985,2,,,
1.51067e-10,0.272687,0,,,
1.79863e-10,0.103349,1,,,
1.46531e-10,0.160759,1,4.30385e-09,0.366691,0
1.56281e-10;1.838e-10,0.00573629;0.494483,1;2,,,
,,,8.31061e-09,0.0400091,0
1.62846e-10;1.77895e-10,0.0306161;0.0743668,0;1,6.13846e-09;6.36448e-09;6.62107e-09;2.43539e-08;2.89725e-08;3.4936e-08,0.0491943;0.112982;0.0770173;0.0100088;6.86163e-05;0.00013256,0;0;0;0;0;0
1.71187e-10;1.94443e-10;2.31208e-10,0.10394;0.388187;0.031514,1;3;3,4.83408e-09;5.3638e-09;8.70669e-09;9.88696e-09,0.257795;0.00840714;0.159027;0.0137494,0;0;0;0
,,,7.18767e-09;7.92375e-09;1.02696e-08;2.26381e-08;2.34176e-08;4.03248e-08;3.00811e-07,0.138052;0.12421;0.0449224;0.00285755;6.7428e-05;0.000835043;1.63813e-05,1;1;1;1;1;1;1
1.52859e-10,0.180707,0,3.28331e-09;4.74577e-09;5.68111e-09;6.69018e-09;6.76525e-09;7.51294e-09;7.53652e-09;5.11854e-08,0.571547;0.0935476;0.233444;0.0432532;0.0499087;0.021921;6.67556e-05;0.000203504,1;1;1;1;1;1;1;1
2.13398e-10;1.86186e-10,0.176004;0.05684,2;2,,,
1.91486e-10,0.545465,2,1.39153e-08;1.51532e-08;1.93573e-09,0.0371007;0.0160345;2.3707,0;0;1
,,,8.17715e-09;3.64567e-09;3.68625e-09,0.0477452;0.635662;0.150508,1;2;2
,,,2.42299e-09;5.0316e-09;5.89533e-09;6.27621e-09;1.01029e-08;3.4773e-08;5.8285e-08;6.02282e-08,1.38525;0.278978;0.206934;0.0613326;0.00207359;0.000265627;1.60154e-05;1.02107e-05,1;1;1;1;1;1;1;1
1.86946e-10,0.285568,0,6.04463e-09;9.5033e-09;1.00444e-08;1.46359e-08,0.510444;0.0341663;0.0110244;0.00293863,0;0;0;0
,,,7.84527e-09,0.379266,0
,,,6.35894e-09;9.20451e-09,0.338081;0.00824366,1;1
,,,2.60704e-09;1.37624e-08;1.67627e-08,1.75493;0.0542939;0.0135838,0;1;1
,,,4.25879e-09,0.152237,2
2.5266e-10;2.39137e-10,0.230866;0.717809,3;3,7.51324e-09;9.98312e-09;1.86239e-08;2.28764e-08;2.29378e-08;1.81214e-09;3.27005e-09,0.000119012;0.195043;0.00959475;0.0094215;0.00214235;0.614815;0.982422,0;0;0;0;0;1;3
1.63521e-10,0.174989,0,,,
1.6988e-10;3.315e-10;4.65e-10;1.8613e-10;2.10385e-10;2.14281e-10,0.36177;0.0485104;0.0146623;0.1248;0.0459259;0.0195449,0;0;0;3;3;3,3.78095e-09;4.70513e-09;6.11902e-09;6.71545e-09;7.66911e-09;1.13662e-08;2.32909e-08;2.7298e-08;4.24879e-08;6.12438e-08;5.58012e-07,0.762722;0.200445;0.335995;0.0236618;0.0659814;0.00126228;6.99986e-05;1.91802e-05;0.000110497;0.000110478;1.44364e-05,0;1;1;1;1;1;1;1;1;1;3
1.52724e-10;1.64507e-10;2.11621e-10,0.28797;0.00890194;0.140598,1;1;3,4.59648e-09;4.61645e-09;1.1878e-09,0.501411;0.0619858;8.18315,1;1;2
,,,3.68496e-09;5.26494e-09;6.97617e-09;1.45204e-08;3.0793e-09,0.731271;0.125688;0.0422967;0.0032379;0.610826,0;0;0;0;0
1.4599e-10;1.61588e-10;2.04183e-10;2.44484e-10,0.212294;0.522414;0.109646;0.0115031,0;1;3;3,,,
1.56371e-10;1.50596e-10;4.65472e-10,0.43614;0.429999;0.076872,0;0;2,,,
